"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","10","5","0","0","13.5","2","0","13.5","0","0"
"4","10","6","242","32","15.4","2.5","83.753","15.918","184.173","163.971"
"4","10","7","686","62","17.4","3","359.96","24.643","863.636","827.17"
"4","10","8","862","63","19.6","2.3","622.047","34.842","1502.476","1445.934"
"4","10","9","892","96","21.9","1.7","835.365","44.798","1948.06","1874.77"
"4","10","10","907","120","24.1","1","984.981","54.628","2186.6","2103.417"
"4","10","11","902","142","25","1.3","1058.531","56.274","2329.572","2240.151"
"4","10","12","902","141","26","1.7","1054.488","55.458","2331.095","2241.606"
"4","10","13","907","118","26.9","2","973.893","53.188","2178.736","2095.89"
"4","10","14","893","92","26.5","3","817.715","46.277","1890.926","1819.91"
"4","10","15","832","75","26.1","4","598.992","39.263","1411.734","1358.325"
"4","10","16","684","55","25.7","5","334.928","32.053","765.7","731.902"
"4","10","17","212","24","23.8","4","68.783","24.655","143.094","123.708"
"4","10","18","0","0","21.8","3","0","21.8","0","0"
"4","10","19","0","0","19.9","2","0","19.9","0","0"
"4","10","20","0","0","19.2","2.3","0","19.2","0","0"
"4","10","21","0","0","18.4","2.7","0","18.4","0","0"
"4","10","22","0","0","17.7","3","0","17.7","0","0"
"4","10","23","0","0","17.2","3","0","17.2","0","0"
"4","11","0","0","0","16.6","3","0","16.6","0","0"
"4","11","1","0","0","16.1","3","0","16.1","0","0"
"4","11","2","0","0","15.7","3","0","15.7","0","0"
"4","11","3","0","0","15.2","3","0","15.2","0","0"
"4","11","4","0","0","14.8","3","0","14.8","0","0"
"4","11","5","0","0","14.2","3","0","14.2","0","0"
"4","11","6","219","35","16.4","3.2","83.663","16.921","187.023","166.764"
"4","11","7","719","57","18.7","3.4","369.993","25.897","881.663","844.694"
"4","11","8","875","64","20.9","3.6","633.04","34.409","1532.661","1475.056"
"4","11","9","911","87","23.2","3.8","842.528","41.425","1999.127","1923.774"
"4","11","10","901","122","25.4","4","982.506","46.546","2277.384","2190.267"
"4","11","11","861","161","26.5","4.3","1048.752","48.687","2404.542","2311.756"
"4","11","12","818","183","27.6","4.7","1025.179","48.633","2351.15","2260.767"
"4","11","13","781","177","28.7","5","926.67","47.118","2141.371","2060.114"
"4","11","14","825","115","28.1","5.3","793.644","43.302","1864.136","1794.173"
"4","11","15","821","70","27.6","5.7","586.825","38.271","1389.737","1337.075"
"4","11","16","667","57","27","6","330.565","32.578","754.61","721.106"
"4","11","17","178","25","25.1","5","62.686","25.702","132.239","113.064"
"4","11","18","0","0","23.3","4","0","23.3","0","0"
"4","11","19","0","0","21.4","3","0","21.4","0","0"
"4","11","20","0","0","20.2","3","0","20.2","0","0"
"4","11","21","0","0","19.1","3","0","19.1","0","0"
"4","11","22","0","0","17.9","3","0","17.9","0","0"
"4","11","23","0","0","17.6","2.7","0","17.6","0","0"
"4","12","0","0","0","17.4","2.3","0","17.4","0","0"
"4","12","1","0","0","17.1","2","0","17.1","0","0"
"4","12","2","0","0","16.8","1.7","0","16.8","0","0"
"4","12","3","0","0","16.6","1.3","0","16.6","0","0"
"4","12","4","0","0","16.3","1","0","16.3","0","0"
"4","12","5","0","0","15.9","1","0","15.9","0","0"
"4","12","6","0","30","18.2","1.5","27.435","17.195","73.379","55.332"
"4","12","7","87","131","20.5","2","164.098","23.246","418.486","393.267"
"4","12","8","63","260","22.1","1.7","296.383","29.186","747.551","714.235"
"4","12","9","89","342","23.7","1.3","410.413","35.151","1007.673","967.085"
"4","12","10","102","400","25.3","1","492.667","40.403","1178.972","1133.176"
"4","12","11","100","436","25.8","2.7","534.512","38.527","1291.365","1241.97"
"4","12","12","100","434","26.3","4.3","532.028","37.229","1293.735","1244.262"
"4","12","13","103","394","26.8","6","486.271","35.031","1195.302","1148.992"
"4","12","14","90","332","25.4","6","399.532","32.03","995.889","955.648"
"4","12","15","63","246","23.9","6","280.992","28.31","711.275","678.912"
"4","12","16","41","131","22.5","6","144.824","24.333","370.477","346.337"
"4","12","17","0","20","21.4","5","18.082","20.747","47.585","30.02"
"4","12","18","0","0","20.4","4","0","20.4","0","0"
"4","12","19","0","0","19.3","3","0","19.3","0","0"
"4","12","20","0","0","19","3","0","19","0","0"
